threshold,ticker,trade_type,sim_exit_time,sim_exit_price,sim_return_pct,sim_duration_minutes,actual_exit_time,actual_exit_price,actual_return_pct,actual_duration_minutes,return_delta_pct,duration_delta_minutes,was_winner,is_winner,outcome_changed,macd_peak_valley,macd_exit_level,original_index
0.75,ASIANPAINT,Buy,2024-05-30 13:10:00,2898.2,0.0,0.0,2024-05-30 13:20:00,2896.15,-0.0707335587606006,10.0,0.0707335587606006,-10.0,False,False,False,-0.2443456485284514,-0.18325923639633854,4387
0.75,ASIANPAINT,Buy,2024-05-31 13:30:00,2895.95,-0.12760160709052032,70.0,2024-05-31 13:35:00,2892.1,-0.2603762523063191,75.0,0.1327746452157988,-5.0,False,False,False,1.8776625949462868,1.4082469462097151,4392
0.75,ASIANPAINT,Buy,2024-06-03 10:15:00,2887.0,-0.9928153774927493,55.0,2024-06-03 10:20:00,2883.4,-1.1162742845384772,60.0,0.12345890704572793,-5.0,False,False,False,0.2353018742187487,0.17647640566406153,4394
0.75,ASIANPAINT,Buy,2024-06-05 11:05:00,2990.8,2.718389916370446,110.0,2024-06-05 11:05:00,2990.8,2.718389916370446,110.0,0.0,0.0,True,True,False,37.84407447604826,28.383055857036197,4403
0.75,ASIANPAINT,Buy,2024-06-07 11:05:00,2932.2,0.0,0.0,2024-06-07 11:20:00,2931.0,-0.0409249028033496,15.0,0.0409249028033496,-15.0,False,False,False,-1.2232458692292312,-0.9174344019219234,4407
0.75,ASIANPAINT,Buy,2024-06-07 12:50:00,2925.75,0.43769309989701344,85.0,2024-06-07 12:50:00,2925.75,0.4376930998970134,85.0,5.551115123125783e-17,0.0,True,True,False,2.041267234177667,1.5309504256332502,4408
0.75,ASIANPAINT,Buy,2024-06-07 15:15:00,2932.7,0.03410990210458096,45.0,2024-06-07 15:15:00,2932.7,0.0341099021045809,45.0,6.245004513516506e-17,0.0,True,True,False,1.345941736120949,1.0094563020907117,4410
0.75,ASIANPAINT,Buy,2024-06-10 09:35:00,2927.55,-0.35737989482820237,20.0,2024-06-10 09:35:00,2927.55,-0.3573798948282023,20.0,-5.551115123125783e-17,0.0,False,False,False,2.1750109089125544,1.6312581816844158,4411
0.75,ASIANPAINT,Buy,2024-06-10 10:50:00,2930.8,-0.011940705866295108,20.0,2024-06-10 10:50:00,2930.8,-0.0119407058662951,20.0,-8.673617379884035e-18,0.0,False,False,False,1.6419989919982072,1.2314992439986554,4412
0.75,ASIANPAINT,Buy,2024-06-10 11:05:00,2927.15,-0.11772333310584243,10.0,2024-06-10 11:05:00,2927.15,-0.1177233331058424,10.0,-2.7755575615628914e-17,0.0,False,False,False,1.6419989919982072,1.2314992439986554,4413
