trade_id,ticker,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,strategy
BANKNIFTY_0082,BANKNIFTY,2025-08-06T13:15:00+05:30,2025-08-08T15:15:00+05:30,LONG,55494.35,54925.45,10,-5839.0,phase4_full_backtest
INFY_0082,INFY,2025-08-06T14:00:00+05:30,2025-08-08T15:15:00+05:30,LONG,1438.5,1424.0,10,-295.0,phase4_full_backtest
RELIANCE_0082,RELIANCE,2025-08-06T14:45:00+05:30,2025-08-08T15:15:00+05:30,LONG,1394.4,1366.2,10,-432.0,phase4_full_backtest
TCS_0082,TCS,2025-08-06T15:00:00+05:30,2025-08-08T15:00:00+05:30,LONG,3035.0,3034.8,10,-152.0,phase4_full_backtest
NIFTY_0082,NIFTY,2025-08-07T10:00:00+05:30,2025-08-08T15:15:00+05:30,SHORT,24476.05,24350.85,10,1102.0,phase4_full_backtest
BANKNIFTY_0083,BANKNIFTY,2025-08-07T13:45:00+05:30,2025-08-08T15:15:00+05:30,SHORT,55043.6,54925.45,10,1031.5,phase4_full_backtest
TCS_0083,TCS,2025-08-07T14:30:00+05:30,2025-08-08T15:00:00+05:30,SHORT,3045.6,3034.8,10,-42.0,phase4_full_backtest
RELIANCE_0083,RELIANCE,2025-08-07T14:45:00+05:30,2025-08-08T15:15:00+05:30,SHORT,1386.7,1366.2,10,55.0,phase4_full_backtest
NIFTY_0083,NIFTY,2025-08-08T10:30:00+05:30,2025-08-11T10:30:00+05:30,LONG,24437.6,24448.8,10,-38.0,phase4_full_backtest
INFY_0083,INFY,2025-08-08T10:45:00+05:30,2025-08-11T10:45:00+05:30,SHORT,1422.4,1421.6,10,-142.0,phase4_full_backtest
NIFTY_0084,NIFTY,2025-08-11T10:15:00+05:30,2025-08-13T15:00:00+05:30,LONG,24441.35,24614.75,10,1584.0,phase4_full_backtest
TCS_0084,TCS,2025-08-11T11:00:00+05:30,2025-08-13T13:00:00+05:30,LONG,3042.7,3041.1,10,-166.0,phase4_full_backtest
BANKNIFTY_0084,BANKNIFTY,2025-08-11T11:00:00+05:30,2025-08-14T11:00:00+05:30,LONG,55235.45,55300.55,10,501.0,phase4_full_backtest
RELIANCE_0084,RELIANCE,2025-08-11T11:15:00+05:30,2025-08-13T12:00:00+05:30,LONG,1367.9,1380.0,10,-29.0,phase4_full_backtest
INFY_0084,INFY,2025-08-11T11:45:00+05:30,2025-08-13T11:15:00+05:30,LONG,1424.3,1424.8,10,-145.0,phase4_full_backtest
NIFTY_0085,NIFTY,2025-08-11T14:15:00+05:30,2025-08-12T13:45:00+05:30,LONG,24542.75,24603.55,10,458.0,phase4_full_backtest
BANKNIFTY_0085,BANKNIFTY,2025-08-12T11:00:00+05:30,2025-08-14T15:15:00+05:30,LONG,55201.8,55318.05,10,1012.5,phase4_full_backtest
RELIANCE_0085,RELIANCE,2025-08-12T11:45:00+05:30,2025-08-14T13:45:00+05:30,LONG,1384.8,1375.0,10,-248.0,phase4_full_backtest
INFY_0085,INFY,2025-08-12T12:15:00+05:30,2025-08-13T10:00:00+05:30,SHORT,1432.5,1423.6,10,-61.0,phase4_full_backtest
